years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted,Candidate Score,Candidate Rank,Fit Level,Prediction
13,90.6,2,19,900,490,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,79.7,2,6,605,188,Shortlisted,96.0,9.0,High Fit,Shortlisted
13,91.2,2,23,742,675,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,63.9,2,5,427,64,Rejected,0.0,201.0,,Rejected
3,85.0,2,11,529,252,Shortlisted,99.0,3.0,High Fit,Shortlisted
1,63.8,3,9,530,280,Rejected,23.0,155.0,Low Fit,Rejected
13,87.2,2,21,900,623,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,74.0,2,9,377,188,Shortlisted,89.5,22.0,High Fit,Shortlisted
8,74.6,2,11,833,372,Shortlisted,85.5,30.0,High Fit,Shortlisted
15,70.5,2,11,899,437,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,64.5,2,6,338,28,Rejected,7.0,187.0,Low Fit,Rejected
4,68.9,0,8,299,290,Shortlisted,69.0,63.0,Medium Fit,Shortlisted
13,78.0,0,19,815,569,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,83.5,0,15,740,482,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,25.8,0,10,630,392,Rejected,15.0,171.0,Low Fit,Rejected
14,100.0,0,11,610,450,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,78.5,3,7,296,188,Shortlisted,77.0,47.0,Medium Fit,Shortlisted
8,57.2,2,7,697,168,Shortlisted,90.5,20.0,High Fit,Shortlisted
7,65.1,2,13,326,357,Shortlisted,99.0,3.0,High Fit,Shortlisted
3,85.2,0,8,312,115,Rejected,18.5,164.0,Low Fit,Rejected
11,65.9,2,9,490,369,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,88.4,2,10,682,296,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,71.9,2,10,728,425,Shortlisted,93.5,14.0,High Fit,Shortlisted
4,71.7,0,8,402,181,Shortlisted,78.5,44.0,Medium Fit,Shortlisted
12,82.3,0,7,726,348,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,65.0,2,10,720,268,Shortlisted,92.5,16.0,High Fit,Shortlisted
10,87.1,2,21,686,534,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,79.6,3,9,656,340,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,44.5,2,8,534,313,Rejected,7.5,186.0,Low Fit,Rejected
6,63.1,3,13,533,408,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,59.5,2,9,620,214,Shortlisted,94.0,13.0,High Fit,Shortlisted
14,68.9,3,14,811,520,Shortlisted,99.5,2.0,High Fit,Shortlisted
13,92.8,2,14,754,465,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,68.9,0,2,626,128,Shortlisted,54.0,93.0,Low Fit,Shortlisted
10,82.8,0,9,886,329,Shortlisted,97.0,7.0,High Fit,Shortlisted
13,91.3,0,12,878,413,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,88.3,1,12,900,265,Shortlisted,99.0,3.0,High Fit,Shortlisted
1,65.6,0,7,155,177,Rejected,0.5,200.0,Low Fit,Rejected
8,54.3,1,8,788,272,Shortlisted,62.0,77.0,Medium Fit,Shortlisted
6,81.9,2,10,399,242,Shortlisted,92.5,16.0,High Fit,Shortlisted
3,66.8,0,7,525,286,Rejected,14.0,173.0,Low Fit,Rejected
3,96.4,0,6,325,132,Rejected,26.0,149.0,Low Fit,Rejected
10,81.4,2,6,574,262,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,81.0,2,10,515,281,Shortlisted,99.0,3.0,High Fit,Shortlisted
3,69.6,3,12,582,238,Shortlisted,96.5,8.0,High Fit,Shortlisted
12,86.0,2,23,766,646,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,85.2,0,16,840,531,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,61.0,0,10,233,293,Rejected,19.5,162.0,Low Fit,Rejected
4,68.2,0,5,459,148,Rejected,4.5,192.0,Low Fit,Rejected
2,70.8,0,7,453,188,Rejected,3.0,195.0,Low Fit,Rejected
12,75.2,0,10,698,466,Shortlisted,99.5,2.0,High Fit,Shortlisted
13,100.0,3,15,724,495,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,81.7,1,10,601,463,Shortlisted,99.5,2.0,High Fit,Shortlisted
10,64.3,0,9,707,402,Shortlisted,99.0,3.0,High Fit,Shortlisted
1,45.0,0,7,386,209,Rejected,0.5,200.0,Low Fit,Rejected
8,84.0,2,9,806,293,Shortlisted,96.0,9.0,High Fit,Shortlisted
9,66.7,0,9,484,277,Rejected,97.0,7.0,High Fit,Shortlisted
8,57.8,0,6,599,208,Rejected,19.0,163.0,Low Fit,Rejected
0,83.3,0,4,277,18,Rejected,5.5,190.0,Low Fit,Rejected
9,61.0,0,9,517,318,Shortlisted,88.5,24.0,High Fit,Shortlisted
2,38.6,0,5,479,153,Rejected,0.5,200.0,Low Fit,Rejected
7,59.7,0,5,428,102,Shortlisted,73.5,54.0,Medium Fit,Shortlisted
5,66.5,1,7,723,167,Shortlisted,73.0,55.0,Medium Fit,Shortlisted
4,70.4,2,9,486,248,Shortlisted,76.5,48.0,Medium Fit,Shortlisted
4,97.6,2,8,441,273,Shortlisted,97.5,6.0,High Fit,Shortlisted
5,59.7,2,9,483,248,Shortlisted,85.0,31.0,High Fit,Shortlisted
14,89.0,0,11,820,424,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,86.4,0,7,630,209,Shortlisted,92.0,17.0,High Fit,Shortlisted
0,43.1,1,3,317,72,Rejected,0.5,200.0,Low Fit,Rejected
8,84.1,0,8,645,254,Shortlisted,98.0,5.0,High Fit,Shortlisted
2,34.0,0,7,196,160,Rejected,0.0,201.0,,Rejected
3,89.9,0,6,649,245,Shortlisted,43.0,115.0,Low Fit,Rejected
9,94.2,2,11,472,342,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,51.0,2,8,386,193,Shortlisted,67.5,66.0,Medium Fit,Shortlisted
12,97.7,2,18,777,516,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,97.2,0,9,828,337,Shortlisted,97.5,6.0,High Fit,Shortlisted
9,59.9,2,16,543,405,Shortlisted,99.5,2.0,High Fit,Shortlisted
2,48.0,1,5,466,101,Rejected,0.0,201.0,,Rejected
1,83.4,2,8,364,173,Shortlisted,85.5,30.0,High Fit,Shortlisted
1,60.5,0,6,310,212,Rejected,1.0,199.0,Low Fit,Rejected
13,90.0,0,18,843,608,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,62.3,2,7,155,110,Rejected,0.5,200.0,Low Fit,Rejected
7,88.6,2,17,757,499,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,69.2,0,8,331,177,Rejected,13.0,175.0,Low Fit,Rejected
15,84.6,1,12,895,380,Shortlisted,98.5,4.0,High Fit,Shortlisted
2,30.0,0,8,381,227,Rejected,2.0,197.0,Low Fit,Rejected
5,84.6,3,9,557,353,Shortlisted,99.5,2.0,High Fit,Shortlisted
12,96.2,2,9,868,391,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,60.4,3,12,635,260,Shortlisted,99.0,3.0,High Fit,Shortlisted
12,63.9,0,13,674,426,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,97.0,2,25,882,717,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,80.2,2,6,670,258,Shortlisted,97.5,6.0,High Fit,Shortlisted
8,43.9,0,8,543,405,Shortlisted,82.0,37.0,High Fit,Shortlisted
3,46.7,1,2,577,0,Rejected,0.5,200.0,Low Fit,Rejected
13,92.0,2,14,531,443,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,79.4,2,9,386,360,Shortlisted,97.0,7.0,High Fit,Shortlisted
1,54.5,2,6,401,162,Rejected,3.0,195.0,Low Fit,Rejected
10,79.0,2,21,618,530,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,64.1,2,15,564,465,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,95.1,2,11,650,367,Shortlisted,99.0,3.0,High Fit,Shortlisted
2,64.1,0,5,483,134,Rejected,9.5,182.0,Low Fit,Rejected
10,67.5,0,10,679,398,Shortlisted,99.5,2.0,High Fit,Shortlisted
11,65.9,2,9,488,413,Shortlisted,99.0,3.0,High Fit,Shortlisted
12,70.0,3,16,680,498,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,96.2,1,8,448,284,Rejected,37.5,126.0,Low Fit,Rejected
2,58.9,0,7,479,132,Shortlisted,72.0,57.0,Medium Fit,Shortlisted
8,67.5,0,17,591,442,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,56.3,0,4,487,56,Rejected,0.0,201.0,,Rejected
11,70.0,0,9,864,273,Shortlisted,91.5,18.0,High Fit,Shortlisted
9,77.6,2,17,795,477,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,69.5,1,10,838,309,Shortlisted,84.5,32.0,High Fit,Shortlisted
14,89.5,2,18,644,508,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,56.3,2,14,638,465,Shortlisted,98.0,5.0,High Fit,Shortlisted
8,94.4,3,15,536,318,Shortlisted,99.5,2.0,High Fit,Shortlisted
4,57.2,0,11,657,282,Rejected,17.5,166.0,Low Fit,Rejected
10,71.4,2,16,728,429,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,66.9,0,11,778,404,Shortlisted,99.5,2.0,High Fit,Shortlisted
1,43.7,0,5,347,154,Rejected,2.0,197.0,Low Fit,Rejected
7,79.3,2,10,584,268,Shortlisted,98.5,4.0,High Fit,Shortlisted
11,96.7,2,11,807,391,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,70.2,1,15,789,495,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,47.4,3,14,378,378,Shortlisted,96.5,8.0,High Fit,Shortlisted
7,59.8,2,7,800,183,Rejected,67.0,67.0,Medium Fit,Shortlisted
10,74.5,2,14,438,422,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,50.8,2,9,666,214,Shortlisted,77.0,47.0,Medium Fit,Shortlisted
15,78.5,0,15,782,519,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,71.0,2,12,561,395,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,59.3,0,3,426,36,Rejected,0.0,201.0,,Rejected
5,49.4,2,2,363,142,Rejected,8.5,184.0,Low Fit,Rejected
4,74.2,0,9,532,300,Shortlisted,65.5,70.0,Medium Fit,Shortlisted
11,100.0,0,15,900,412,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,100.0,2,14,900,474,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,72.7,0,3,546,284,Shortlisted,86.5,28.0,High Fit,Shortlisted
11,89.5,0,11,728,439,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,73.8,0,7,382,9,Rejected,6.0,189.0,Low Fit,Rejected
12,84.6,2,14,792,467,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,60.2,0,6,255,96,Rejected,0.0,201.0,,Rejected
1,69.7,0,9,586,155,Rejected,25.0,151.0,Low Fit,Rejected
7,84.8,0,6,611,248,Rejected,29.0,143.0,Low Fit,Rejected
12,69.3,0,14,621,530,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,98.7,0,22,755,585,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,100.0,2,12,670,407,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,94.7,0,10,685,400,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,84.5,0,4,269,124,Shortlisted,65.0,71.0,Medium Fit,Shortlisted
9,36.7,0,13,548,436,Shortlisted,97.5,6.0,High Fit,Shortlisted
2,70.4,0,7,570,211,Rejected,6.0,189.0,Low Fit,Rejected
7,75.5,0,9,610,235,Shortlisted,87.5,26.0,High Fit,Shortlisted
7,90.7,2,7,329,367,Shortlisted,95.5,10.0,High Fit,Shortlisted
1,42.6,0,6,471,162,Rejected,0.0,201.0,,Rejected
7,63.9,0,8,573,382,Rejected,26.5,148.0,Low Fit,Rejected
10,94.8,2,16,605,539,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,65.6,0,15,547,425,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,88.9,2,13,657,449,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,57.2,0,5,290,16,Rejected,2.0,197.0,Low Fit,Rejected
5,64.6,0,10,481,182,Rejected,25.0,151.0,Low Fit,Rejected
7,83.8,2,9,383,153,Shortlisted,96.0,9.0,High Fit,Shortlisted
2,44.8,0,7,425,116,Rejected,0.0,201.0,,Rejected
15,79.5,2,18,875,760,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,73.2,2,11,566,350,Shortlisted,99.5,2.0,High Fit,Shortlisted
11,65.2,2,16,815,502,Shortlisted,99.0,3.0,High Fit,Shortlisted
0,79.7,2,6,164,232,Rejected,8.0,185.0,Low Fit,Rejected
10,69.3,2,10,855,449,Shortlisted,87.5,26.0,High Fit,Shortlisted
10,93.0,2,19,758,458,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,78.1,2,10,826,436,Shortlisted,98.5,4.0,High Fit,Shortlisted
8,84.1,0,12,574,380,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,57.4,0,9,686,383,Shortlisted,99.0,3.0,High Fit,Shortlisted
10,94.1,1,13,813,480,Shortlisted,99.5,2.0,High Fit,Shortlisted
12,94.0,1,17,794,469,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,69.0,2,13,581,358,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,48.6,1,10,182,331,Rejected,7.0,187.0,Low Fit,Rejected
9,82.4,0,9,595,406,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,44.4,2,10,345,273,Shortlisted,71.0,59.0,Medium Fit,Shortlisted
14,81.5,1,16,759,589,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,65.4,0,13,678,405,Shortlisted,99.0,3.0,High Fit,Shortlisted
5,67.4,2,12,643,354,Shortlisted,98.5,4.0,High Fit,Shortlisted
11,73.6,2,18,526,623,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,61.3,2,11,429,393,Shortlisted,96.5,8.0,High Fit,Shortlisted
4,91.1,0,6,575,223,Shortlisted,93.5,14.0,High Fit,Shortlisted
10,89.2,0,12,819,446,Shortlisted,97.5,6.0,High Fit,Shortlisted
12,63.1,2,16,789,491,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,62.4,0,12,634,374,Shortlisted,99.5,2.0,High Fit,Shortlisted
8,90.1,2,9,559,335,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,79.8,2,4,423,6,Rejected,1.0,199.0,Low Fit,Rejected
14,64.7,0,17,900,592,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,80.0,0,13,499,371,Rejected,33.5,134.0,Low Fit,Rejected
9,75.0,1,9,711,269,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,50.1,2,6,632,306,Shortlisted,92.5,16.0,High Fit,Shortlisted
15,77.0,1,17,845,519,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,75.5,0,15,730,517,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,70.0,2,6,499,198,Shortlisted,73.0,55.0,Medium Fit,Shortlisted
13,63.7,0,12,734,482,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,58.1,0,12,638,333,Shortlisted,97.5,6.0,High Fit,Shortlisted
14,79.9,2,12,716,499,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,51.5,0,5,395,211,Rejected,0.0,201.0,,Rejected
3,59.5,2,10,492,249,Shortlisted,77.5,46.0,Medium Fit,Shortlisted
1,61.3,2,7,263,130,Rejected,7.0,187.0,Low Fit,Rejected
13,88.1,0,13,900,474,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,100.0,3,13,656,563,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,94.6,0,9,702,282,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,100.0,3,9,493,422,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,57.8,1,8,649,187,Rejected,8.0,185.0,Low Fit,Rejected
1,44.4,0,4,596,77,Rejected,0.5,200.0,Low Fit,Rejected
15,99.5,0,12,641,652,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,76.8,1,7,596,373,Shortlisted,98.0,5.0,High Fit,Shortlisted
13,98.2,2,20,731,706,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,68.0,2,13,603,362,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,71.0,2,10,305,245,Shortlisted,79.0,43.0,Medium Fit,Shortlisted
8,70.9,0,12,368,360,Shortlisted,94.5,12.0,High Fit,Shortlisted
0,50.6,0,4,293,269,Rejected,3.5,194.0,Low Fit,Rejected
7,69.7,2,6,791,187,Shortlisted,86.0,29.0,High Fit,Shortlisted
14,92.9,0,12,721,423,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,74.9,2,8,589,161,Shortlisted,79.0,43.0,Medium Fit,Shortlisted
11,77.8,2,8,579,351,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,92.7,0,11,882,364,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,80.4,2,8,409,254,Shortlisted,98.0,5.0,High Fit,Shortlisted
12,96.3,2,11,724,324,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,80.1,2,3,444,134,Rejected,11.0,179.0,Low Fit,Rejected
15,100.0,0,18,705,542,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,60.5,0,11,496,273,Shortlisted,89.5,22.0,High Fit,Shortlisted
2,83.4,0,11,247,209,Rejected,18.5,164.0,Low Fit,Rejected
13,85.3,0,14,492,531,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,53.1,0,7,352,218,Shortlisted,67.0,67.0,Medium Fit,Shortlisted
9,69.5,2,16,605,551,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,84.2,2,9,438,200,Shortlisted,98.5,4.0,High Fit,Shortlisted
15,100.0,2,25,754,615,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,44.3,0,8,396,281,Rejected,3.5,194.0,Low Fit,Rejected
14,81.5,3,21,769,603,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,71.5,0,8,697,267,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,70.3,2,14,528,541,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,64.8,3,17,763,516,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,54.0,2,14,661,409,Shortlisted,99.5,2.0,High Fit,Shortlisted
4,67.3,3,7,362,291,Rejected,24.0,153.0,Low Fit,Rejected
12,89.0,2,11,696,345,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,77.3,0,10,592,277,Rejected,24.5,152.0,Low Fit,Rejected
3,43.1,0,8,299,197,Rejected,5.0,191.0,Low Fit,Rejected
3,43.3,0,7,535,277,Rejected,1.5,198.0,Low Fit,Rejected
15,75.1,1,19,721,621,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,67.3,2,6,418,247,Rejected,14.0,173.0,Low Fit,Rejected
1,74.6,0,2,407,50,Rejected,2.0,197.0,Low Fit,Rejected
3,78.0,2,8,512,192,Shortlisted,77.5,46.0,Medium Fit,Shortlisted
10,72.0,0,8,665,280,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,92.9,0,21,782,573,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,52.3,3,6,189,171,Rejected,4.0,193.0,Low Fit,Rejected
11,80.6,0,25,673,697,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,70.3,2,10,657,263,Shortlisted,97.0,7.0,High Fit,Shortlisted
0,82.3,2,8,354,227,Shortlisted,43.0,115.0,Low Fit,Rejected
9,82.9,0,8,532,330,Shortlisted,95.5,10.0,High Fit,Shortlisted
5,55.9,0,9,426,253,Shortlisted,80.5,40.0,High Fit,Shortlisted
0,46.1,0,4,194,130,Rejected,0.0,201.0,,Rejected
5,66.3,2,9,433,270,Shortlisted,75.5,50.0,Medium Fit,Shortlisted
9,55.8,2,9,742,366,Shortlisted,95.5,10.0,High Fit,Shortlisted
7,68.0,0,7,597,198,Shortlisted,78.5,44.0,Medium Fit,Shortlisted
10,79.1,2,21,423,582,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,66.5,0,5,412,15,Rejected,0.5,200.0,Low Fit,Rejected
1,72.4,2,4,451,106,Rejected,4.0,193.0,Low Fit,Rejected
13,88.7,2,11,765,346,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,66.8,2,9,755,417,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,70.9,2,11,814,511,Shortlisted,99.5,2.0,High Fit,Shortlisted
12,72.4,0,14,897,306,Shortlisted,99.5,2.0,High Fit,Shortlisted
11,96.8,3,10,622,462,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,72.8,0,4,489,134,Rejected,3.0,195.0,Low Fit,Rejected
10,77.5,2,7,502,322,Shortlisted,99.0,3.0,High Fit,Shortlisted
2,96.9,0,7,256,145,Rejected,10.0,181.0,Low Fit,Rejected
3,94.4,3,7,396,309,Shortlisted,95.0,11.0,High Fit,Shortlisted
12,100.0,2,12,791,508,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,93.8,2,18,655,619,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,71.9,1,6,687,210,Rejected,17.5,166.0,Low Fit,Rejected
12,91.0,2,17,735,512,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,54.2,2,19,524,532,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,45.5,2,3,303,45,Rejected,0.0,201.0,,Rejected
5,64.2,0,15,586,458,Shortlisted,97.0,7.0,High Fit,Shortlisted
14,87.4,0,18,816,467,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,83.6,0,12,854,368,Shortlisted,99.0,3.0,High Fit,Shortlisted
15,91.6,0,15,900,508,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,30.0,0,9,599,205,Rejected,3.0,195.0,Low Fit,Rejected
10,85.1,0,10,613,442,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,76.4,0,10,783,361,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,66.7,0,13,368,383,Shortlisted,95.0,11.0,High Fit,Shortlisted
9,84.9,1,11,769,246,Shortlisted,99.5,2.0,High Fit,Shortlisted
1,51.3,3,9,343,198,Rejected,6.5,188.0,Low Fit,Rejected
13,79.9,0,16,783,465,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,63.8,0,5,497,107,Rejected,0.5,200.0,Low Fit,Rejected
12,68.7,0,10,624,496,Shortlisted,99.0,3.0,High Fit,Shortlisted
3,37.2,2,6,557,161,Rejected,2.5,196.0,Low Fit,Rejected
0,47.7,3,4,351,141,Shortlisted,63.0,75.0,Medium Fit,Shortlisted
2,60.5,0,7,445,119,Rejected,3.5,194.0,Low Fit,Rejected
12,77.8,0,13,547,450,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,80.7,3,16,576,525,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,59.6,0,10,610,318,Rejected,16.5,168.0,Low Fit,Rejected
14,61.3,1,13,779,379,Shortlisted,99.5,2.0,High Fit,Shortlisted
6,71.6,0,9,586,165,Rejected,27.0,147.0,Low Fit,Rejected
12,74.5,1,11,891,361,Shortlisted,86.5,28.0,High Fit,Shortlisted
12,98.6,3,12,820,350,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,66.3,0,16,670,447,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,40.7,3,11,345,209,Shortlisted,66.5,68.0,Medium Fit,Shortlisted
15,55.9,3,18,900,500,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,57.2,2,5,484,116,Rejected,1.0,199.0,Low Fit,Rejected
14,82.9,1,12,741,468,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,75.5,1,12,675,508,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,55.0,0,0,468,7,Rejected,0.5,200.0,Low Fit,Rejected
5,43.6,0,6,440,253,Rejected,7.5,186.0,Low Fit,Rejected
10,52.9,2,22,739,455,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,83.0,0,11,524,436,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,65.6,3,8,425,100,Shortlisted,73.5,54.0,Medium Fit,Shortlisted
0,52.0,0,8,217,114,Rejected,0.0,201.0,,Rejected
13,64.1,2,18,593,533,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,68.8,2,11,703,390,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,72.2,0,11,661,339,Shortlisted,94.0,13.0,High Fit,Shortlisted
11,83.8,0,6,796,199,Shortlisted,98.5,4.0,High Fit,Shortlisted
12,79.0,0,13,573,420,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,86.2,0,10,388,342,Shortlisted,95.5,10.0,High Fit,Shortlisted
14,76.9,0,12,779,477,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,100.0,0,18,860,506,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,68.8,0,6,449,33,Rejected,8.5,184.0,Low Fit,Rejected
10,86.6,3,20,759,598,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,77.5,0,7,530,132,Rejected,7.5,186.0,Low Fit,Rejected
5,58.1,0,5,445,184,Rejected,3.5,194.0,Low Fit,Rejected
2,52.1,1,4,456,101,Rejected,0.0,201.0,,Rejected
8,55.1,0,6,679,291,Rejected,21.5,158.0,Low Fit,Rejected
4,79.5,0,5,462,201,Rejected,16.5,168.0,Low Fit,Rejected
2,74.0,3,10,556,276,Shortlisted,89.0,23.0,High Fit,Shortlisted
10,94.0,0,10,733,222,Shortlisted,99.0,3.0,High Fit,Shortlisted
0,56.1,1,1,452,64,Rejected,0.0,201.0,,Rejected
9,92.0,0,14,541,428,Shortlisted,99.5,2.0,High Fit,Shortlisted
11,68.3,0,11,677,362,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,82.3,0,13,574,394,Shortlisted,99.0,3.0,High Fit,Shortlisted
14,83.3,2,19,739,509,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,55.0,1,5,297,174,Rejected,0.0,201.0,,Rejected
12,92.4,0,14,735,459,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,100.0,2,2,328,82,Rejected,48.0,105.0,Low Fit,Rejected
15,99.8,0,17,900,514,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,66.7,1,6,373,170,Rejected,0.0,201.0,,Rejected
8,72.8,3,11,668,439,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,73.9,0,12,412,308,Shortlisted,96.0,9.0,High Fit,Shortlisted
11,81.8,2,16,695,506,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,80.6,0,5,150,144,Rejected,0.5,200.0,Low Fit,Rejected
14,83.3,0,19,818,480,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,99.4,0,15,616,496,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,68.0,0,16,569,712,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,94.0,1,12,605,404,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,58.6,0,10,590,261,Shortlisted,92.0,17.0,High Fit,Shortlisted
11,96.1,2,12,752,336,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,74.3,2,14,599,475,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,82.8,0,14,561,340,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,46.8,2,4,485,50,Rejected,0.5,200.0,Low Fit,Rejected
12,100.0,2,12,625,378,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,81.9,2,6,611,140,Shortlisted,89.0,23.0,High Fit,Shortlisted
